Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
20/11/2000,6440.100098,6452.799805,6335.100098,6345,852977000,-95.10009766,-0.014766866,0.018276068
21/11/2000,6345,6393.700195,6333.299805,6382.200195,818389000,37.20019531,0.005862915,0.009519368
22/11/2000,6377.700195,6377.700195,6216.100098,6221.399902,1159582000,-160.800293,-0.025195119,0.025320437
23/11/2000,6221.399902,6287.299805,6217.5,6287.299805,710169000,65.89990234,0.010592456,0.011219308
24/11/2000,6287.299805,6359.299805,6237.200195,6327.600098,868355000,40.30029297,0.006409793,0.019420039
27/11/2000,6327.600098,6397.5,6323.299805,6374.700195,607018000,47.10009766,0.007443596,0.011726436
28/11/2000,6374.700195,6374.700195,6241.5,6249.799805,835284000,-124.9003906,-0.01959314,0.020895131
29/11/2000,6249.799805,6249.799805,6154.700195,6164.899902,964798000,-84.89990234,-0.01358442,0.015216425
30/11/2000,6164.899902,6164.899902,6070,6142.200195,968847000,-22.69970703,-0.003682088,0.015393584
1/12/2000,6142.200195,6189.899902,6130.5,6170.399902,1068234000,28.19970703,0.004591141,0.009670786
4/12/2000,6170.399902,6170.799805,6113.899902,6158.700195,660403000,-11.69970703,-0.001896102,0.009221429
5/12/2000,6158.700195,6318.100098,6158.700195,6299,998308000,140.2998047,0.022780749,0.025882069
6/12/2000,6299,6365.600098,6258.799805,6273.299805,1338563000,-25.70019531,-0.004080044,0.016955119
7/12/2000,6273.299805,6273.299805,6147.600098,6231.399902,986830000,-41.89990234,-0.006679085,0.020037255
8/12/2000,6231.399902,6343.100098,6222.299805,6288.299805,1062085000,56.89990234,0.009131159,0.019385739
11/12/2000,6288.299805,6370.600098,6288.299805,6370.399902,1032602000,82.10009766,0.013056009,0.013087845
12/12/2000,6370.299805,6393.600098,6333.200195,6390.399902,933824000,20,0.00313952,0.009481336
13/12/2000,6390.399902,6421.5,6366.600098,6403,1024556000,12.60009766,0.001971723,0.008590996
14/12/2000,6403,6403,6235.700195,6263.799805,1173849000,-139.2001953,-0.02173984,0.026128347
15/12/2000,6263.799805,6269.700195,6175,6175.799805,1201185000,-88,-0.01404898,0.01511865
18/12/2000,6175.799805,6260.399902,6175.600098,6246.5,652869000,70.70019531,0.011447942,0.013730983
19/12/2000,6246.5,6307.299805,6198.600098,6295,818249000,48.5,0.007764348,0.017401698
20/12/2000,6295,6295,6138.399902,6176.700195,892233000,-118.2998047,-0.018792662,0.024876902
21/12/2000,6176.700195,6179.299805,6083.700195,6115.5,996754000,-61.20019531,-0.009908235,0.015477457
22/12/2000,6115.5,6159.200195,6097.5,6097.5,293611000,-18,-0.002943341,0.01008915
27/12/2000,6097.5,6218.200195,6097.5,6218.200195,357446000,120.7001953,0.01979503,0.01979503
28/12/2000,6218.200195,6226.399902,6173.700195,6223.200195,315669000,5,0.000804091,0.008475074
29/12/2000,6223.200195,6255.899902,6170.5,6222.5,377041000,-0.700195313,-0.000112514,0.013722827
2/1/2001,6222.5,6276.200195,6169.799805,6174.700195,709054000,-47.79980469,-0.007681769,0.017099299
3/1/2001,6174.700195,6174.700195,6029.299805,6039.899902,1147114000,-134.800293,-0.021831067,0.023547765
4/1/2001,6039.899902,6195.299805,6039.899902,6185.600098,1640397000,145.7001953,0.024122949,0.025728887
5/1/2001,6185.600098,6239.600098,6155,6198.100098,1293875000,12.5,0.002020823,0.013676943
8/1/2001,6198.100098,6212.399902,6137.700195,6149.600098,1449404000,-48.5,-0.007824978,0.012052033
9/1/2001,6149.600098,6195.899902,6066.399902,6088.100098,1321566000,-61.5,-0.01000065,0.02105828
10/1/2001,6088.100098,6119.899902,6040.399902,6059.899902,1621626000,-28.20019531,-0.004632019,0.013058261
11/1/2001,6059.899902,6114.899902,6052.100098,6114.899902,1505214000,55,0.009076058,0.010363175
12/1/2001,6114.899902,6178.5,6109.799805,6165.5,1501605000,50.60009766,0.008274886,0.011234885
15/1/2001,6165.5,6193.399902,6148.799805,6170.299805,736727000,4.799804688,0.000778494,0.007233817
16/1/2001,6170.299805,6173.799805,6076.700195,6083.299805,1239263000,-87,-0.014099801,0.015736611
